Course Code,Course Title,Session,Cr Hrs,Day and Time,Instructor
CS 100 LAB 2,Computational Problem Solving,16W,3,W 10:00AM-12:50PM,Muhammad Fareed Zaffar
CS 200 LEC 1,Introduction to Programming,16W,4,TR 11:00AM-12:15PM,Shafay Shamail
CS 200 LEC 2,Introduction to Programming,16W,4,TR 2:00PM-3:15PM,
CS 200 LAB 1,Introduction to Programming,16W,4,F 3:00PM-5:50PM,Shafay Shamail
CS 200 LAB 2,Introduction to Programming,16W,4,F 10:00AM-12:50PM,
CS 202 LEC 1,Data Structures,16W,3,MW 3:30PM-4:45PM,Ihsan Ayyub Qazi
CS 202 LEC 2,Data Structures,16W,3,TR 8:00AM-9:15AM,Malik Jahan Khan
CS 202 LEC 3,Data Structures,16W,3,TR 9:30AM-10:45AM,Malik Jahan Khan
CS 300 LEC 1,Advanced Programming,16W,3,TR 10:00AM-11:15AM,Waqar Ahmad
CS 300 LEC 2,Advanced Programming,16W,3,TR 11:30AM-12:45PM,Waqar Ahmad
CS 315 LEC 1,Reory of Automata,16W,3,TR 3:30PM-4:45PM,Imdad ullah khan
CS 331 LEC 1,Introduction to Artificial Intelligence,16W,3,TR 8:00AM-9:15AM,Mian Muhammad Awais
CS 331 LEC 2,Introduction to Artificial Intelligence,16W,3,MW 2:00PM-3:15PM,Muhammad Tahir
CS 334 LEC 1,Principles and Techniques of Data Science,16W,3,MW 10:00AM-11:15AM,Mobin Javed
CS 360 LEC 1,Software Engineering,16W,3,TR 12:30PM-1:45PM,Maryam Abdul Ghafoor
CS 360 LEC 2,Software Engineering,16W,3,TR 2:00PM-3:15PM,"Maryam Abdul Ghafoor
Uleman Shahid"
CS 3812 LEC 1,Introduction to Blockchain: Technology and Appl,16W,3,MW 9:30AM-10:45AM,"Basit Shafiq
Naveed Ul Hassan
Zartash Afzal Uzmi"
CS 382 LEC 1,Network-Centric Computing,16W,3,MW 11:00AM-12:15PM,Zafar Ayyub Qazi
CS 382 LEC 2,Network-Centric Computing,16W,3,MW 12:30PM-1:45PM,Zartash Afzal Uzmi
CS 437 LEC 1,4Deep Learning,16W,3,MW 9:00AM-10:15AM,Murtaza Taj
CS 466 LEC 1,Human-Computer Interaction and Design,16W,3,TR 10:30AM-11:45AM,Uleman Shahid
CS 473 LEC 1,3Network Security,16W,3,MW 2:00PM-3:15PM,Mobin Javed
CS 5302 LEC 1,Speech and Language Processing wiR Generativ,e16W,3,TR 2:00PM-3:15PM,Agha Ali Raza
CS 532 LEC 1,Intelligent Computing,16W,3,MW 9:30AM-10:45AM,Mian Muhammad Awais
CS 5620 LEC 1,Information and Communication Technology for,16W,3,MW 11:00AM-12:15PM,Maryam Mustafa
CS 564 LEC 1,Software Development: Tools and Processes,16W,3,TR 3:30PM-4:45PM,Shafay Shamail
CS 585 LEC 1,Service Oriented Computing,16W,3,MW 12:30PM-1:45PM,Basit Shafiq
CS 677 LEC 1,Internet of Rings,16W,3,TR 5:00PM-6:15PM,"Naveed Anwar Bhatti
Muhammad Hammad Alizai"
CS 678 LEC 1,Topics in Internet Research,16W,3,MW 5:00PM-6:15PM,"Ihsan Ayyub Qazi
Zafar Ayyub Qazi"
DISC 112 LEC 1,Computer and Problem Solving,16W,4,MW 9:30AM-10:45AM,Mahira Ilyas
DISC 112 LEC 2,Computer and Problem Solving,16W,4,MW 11:00AM-12:15PM,Mahira Ilyas
DISC 112 LEC 3,Computer and Problem Solving,16W,4,MW 12:30PM-1:45PM,Mahira Ilyas
DISC 112 LEC 4,Computer and Problem Solving,16W,4,MW 9:30AM-10:45AM,Humbal Tariq
DISC 112 LAB 1,Computer and Problem Solving,16W,4,W 3:30PM-6:20PM,Mahira Ilyas
DISC 112 LAB 2,Computer and Problem Solving,16W,4,W 3:30PM-6:20PM,Mahira Ilyas
DISC 112 LAB 3,Computer and Problem Solving,16W,4,W 3:30PM-6:20PM,Mahira Ilyas
DISC 112 LAB 4,Computer and Problem Solving,16W,4,F 10:00AM-12:50PM,Humbal Tariq
DISC 112 LEC 5,Computer and Problem Solving,8Wk1,4,MW 9:30AM-10:45AM,
DISC 112 LEC 5,Computer and Problem Solving,8Wk2,4,MW 9:30AM-10:45AM,
DISC 112 LEC 6,Computer and Problem Solving,8Wk1,4,MW 11:00AM-12:15PM,
DISC 112 LEC 6,Computer and Problem Solving,8Wk2,4,MW 11:00AM-12:15PM,
DISC 112 LAB 5,Computer and Problem Solving,16W,4,F 2:30PM-5:20PM,
DISC 112 LAB 6,Computer and Problem Solving,16W,4,F 2:30PM-5:20PM,
DISC 203 LEC 1,Probability and Statistics,16W,3,MW 9:30AM-10:45AM,Muhammad Asim
DISC 212 LEC 1,Introduction to Management Science,16W,3,TR 8:00AM-9:15AM,Muhammad Adeel Zaffar
DISC 212 LEC 2,Introduction to Management Science,16W,3,TR 12:30PM-1:45PM,Maheen Aamir Syed
DISC 231 LEC 1,Operations Management,16W,3,MW 2:00PM-3:15PM,Raja Usman Khalid
DISC 231 LEC 2,Operations Management,16W,3,TR 2:00PM-3:15PM,Sheikh Attique Ur Rehman
DISC 231 LEC 3,Operations Management,16W,3,MW 3:30PM-4:45PM,Sheikh Attique Ur Rehman
DISC 320 LEC 1,Qualitative and Quantitative MeRods in Busines,s16W,3,TR 5:00PM-6:15PM,Fariha Zahid
DISC 321 LEC 1,Decision Analysis,16W,4,TR 9:30AM-11:20AM,Sheikh Attique Ur Rehman
DISC 322 LEC 1,Optimization MeRods in Management Science,16W,3,MW 9:30AM-10:45AM,Kamran Rashid
DISC 322 LEC 2,Optimization MeRods in Management Science,16W,3,MW 11:00AM-12:15PM,Kamran Rashid
DISC 322 LEC 3,Optimization MeRods in Management Science,16W,3,MW 12:30PM-1:45PM,Kamran Rashid
DISC 323 LEC 1,Decision Behaviour,16W,3,TR 9:30AM-10:45AM,Muhammad Abdur Rahman Malik
DISC 323 LEC 2,Decision Behaviour,16W,3,TR 11:00AM-12:15PM,Muhammad Abdur Rahman Malik
DISC 325 LEC 1,Business Data Management,16W,3,TR 5:00PM-6:15PM,Ussama Yaqub
DISC 333 LEC 1,Upply Chain and Logistics Management,16W,3,MW 3:30PM-4:45PM,Raja Usman Khalid
DISC 333 LEC 2,Upply Chain and Logistics Management,16W,3,MW 5:00PM-6:15PM,Raja Usman Khalid
DISC 335 LEC 1,Transportation and Logistics Management,16W,3,MW 11:00AM-12:15PM,"Raja Usman Khalid
Tabjeel Ashraf"
DISC 420 LEC 1,Business Analytics,16W,3,TR 2:00PM-3:15PM,Maheen Aamir Syed
DISC 7201 LEC 1,Decision Behaviour,16W,3,M 2:00PM-5:00PM,Muhammad Adeel Zaffar
DISC 7601 LEC 1,Research MeRods,16W,2,T 2:00PM-5:00PM,Ghazal Mir Zulfiqar
DISC 7602 LEC 1,Advanced Research MeRods,16W,3,R 9:00AM-12:00PM,Muhammad Ghufran Ahmad
DISC 8302 SEM 1,Seminar in Production Analysis,16W,3,F 9:00AM-12:00PM,Sheikh Attique Ur Rehman
ECON 100 LEC 1,Principles of Economics,16W,4,MW 3:00PM-4:50PM,Nadia Mukhtar Sayed
ECON 100 LEC 2,Principles of Economics,16W,4,TR 9:00AM-10:50AM,Nadia Mukhtar Sayed
ECON 111 LEC 1,Principles of Microeconomics,16W,4,MW 10:00AM-11:15AM,Sher Afghan Asad
ECON 111 LEC 2,Principles of Microeconomics,16W,4,MW 2:00PM-3:15PM,Uzma Afzal
ECON 111 LEC 3,Principles of Microeconomics,16W,4,TR 5:00PM-6:15PM,Sher Afghan Asad
ECON 111 RAC 1,Principles of Microeconomics,16W,4,F 3:00PM-3:50PM,
ECON 111 RAC 2,Principles of Microeconomics,16W,4,F 9:00AM-9:50AM,
ECON 111 RAC 3,Principles of Microeconomics,16W,4,F 8:00AM-8:50AM,
ECON 111 RAC 4,Principles of Microeconomics,16W,4,F 10:00AM-10:50AM,Ayesha Karim Malik
ECON 111 RAC 5,Principles of Microeconomics,16W,4,F 11:00AM-11:50AM,Ayesha Karim Malik
ECON 111 RAC 6,Principles of Microeconomics,16W,4,F 12:00PM-12:50PM,Ayesha Karim Malik
ECON 111 RAC 7,Principles of Microeconomics,16W,4,F 5:00PM-5:50PM,Verda Arif
ECON 111 RAC 8,Principles of Microeconomics,16W,4,F 2:00PM-2:50PM,Verda Arif
ECON 111 RAC 9,Principles of Microeconomics,16W,4,F 4:00PM-4:50PM,Verda Arif
ECON 121 LEC 1,Principles of Macroeconomics,16W,4,MW 12:00PM-1:15PM,Kashif Zaheer Malik
ECON 121 LEC 2,Principles of Macroeconomics,16W,4,MW 8:00AM-9:15AM,Mohammad Usman Khan
ECON 121 LEC 3,Principles of Macroeconomics,16W,4,MW 9:30AM-10:45AM,Mohammad Usman Khan
ECON 121 RAC 1,Principles of Macroeconomics,16W,4,T 1:00PM-1:50PM,Verda Arif
ECON 121 RAC 2,Principles of Macroeconomics,16W,4,T 4:00PM-4:50PM,Verda Arif
ECON 121 RAC 3,Principles of Macroeconomics,16W,4,T 10:00AM-10:50AM,Verda Arif
ECON 121 RAC 4,Principles of Macroeconomics,16W,4,R 4:00PM-4:50PM,Anum Fatima
ECON 121 RAC 5,Principles of Macroeconomics,16W,4,R 3:00PM-3:50PM,Anum Fatima
ECON 121 RAC 6,Principles of Macroeconomics,16W,4,R 2:00PM-2:50PM,Anum Fatima
ECON 121 RAC 7,Principles of Macroeconomics,16W,4,R 2:00PM-2:50PM,Eeman Shehzad Qureshi
ECON 121 RAC 8,Principles of Macroeconomics,16W,4,R 12:30PM-1:20PM,Eeman Shehzad Qureshi
ECON 121 RAC 9,Principles of Macroeconomics,16W,4,F 5:00PM-5:50PM,Eeman Shehzad Qureshi
ECON 202 LEC 1,Readings in Economics,16W,4,MW 10:00AM-11:50AM,Khalid Mir
ECON 203 LEC 1,Reading Marx wiR Dickens,16W,4,MW 3:00PM-4:50PM,
ECON 211 LEC 1,Intermediate Microeconomics,16W,4,MW 10:00AM-11:50AM,Mushtaq Ahmad Khan
ECON 211 LEC 2,Intermediate Microeconomics,16W,4,TR 10:00AM-11:50AM,Ayesha Ali
ECON 213 LEC 1,Behavioral Economics,16W,4,MW 3:00PM-4:50PM,Farah Said
ECON 221 LEC 1,Intermediate Macroeconomics,16W,4,MW 4:00PM-5:50PM,Daniyal Khan
ECON 221 LEC 2,Intermediate Macroeconomics,16W,4,TR 8:00AM-9:50AM,Antonio Marasco
ECON 230 LEC 1,Statistics and Data Analysis,16W,4,TR 12:00PM-1:30PM,Usman Elahi
ECON 230 LEC 2,Statistics and Data Analysis,16W,4,MW 9:30AM-11:00AM,Adeel Tariq
ECON 230 LAB 1,Statistics and Data Analysis,16W,4,R 2:00PM-2:50PM,Rimsha Arif
ECON 230 LAB 2,Statistics and Data Analysis,16W,4,R 4:00PM-4:50PM,Rimsha Arif
ECON 230 LAB 3,Statistics and Data Analysis,16W,4,T 2:00PM-2:50PM,Eeman Shehzad Qureshi
ECON 230 LAB 4,Statistics and Data Analysis,16W,4,T 4:00PM-4:50PM,Eeman Shehzad Qureshi
ECON 233 LEC 1,Introduction to Game Reory,16W,4,MW 10:00AM-11:50AM,Lyyla Khalid
ECON 233 LEC 2,Introduction to Game Reory,16W,4,TR 10:00AM-11:50AM,Lyyla Khalid
ECON 247 LEC 1,Sectors and Policy in Development,16W,4,TR 9:30AM-11:20AM,Hadia Majid
ECON 261 LEC 1,Principles of Finance,16W,4,TR 2:00PM-3:50PM,Sheraz Latif Malik
ECON 3110 LEC 1,Economics of Organizations and Management,16W,4,TR 2:00PM-3:50PM,Daud Ahmed Dard
ECON 314 LEC 1,Law and Economics,16W,4,TR 12:00PM-1:50PM,Syed Ali Hasanain
ECON 330 LEC 1,Econometrics,16W,4,TR 5:00PM-6:30PM,Muhammad Farooq Naseer
ECON 330 LEC 2,Econometrics,16W,4,TR 9:00AM-10:30AM,Adeel Tariq
ECON 330 LAB 1,Econometrics,16W,4,T 4:00PM-4:50PM,Yushma Umar
ECON 330 LAB 2,Econometrics,16W,4,T 3:00PM-3:50PM,Yushma Umar
ECON 330 LAB 3,Econometrics,16W,4,F 12:00PM-12:50PM,Rabia Khan
ECON 330 LAB 4,Econometrics,16W,4,F 2:00PM-2:50PM,Rabia Khan
ECON 3312 LEC 1,Machine Learning for Social Scientists,16W,4,TR 12:00PM-1:50PM,Rabia Khan
ECON 334 LEC 1,Time Series Econometrics,16W,4,MW 9:00AM-10:50AM,Kashif Zaheer Malik
ECON 3402 LEC 1,Gender Economics,16W,4,MW 12:00PM-1:50PM,Hana Zahir
ECON 3403 LEC 1,Managing Pakistan Economy,16W,4,TR 4:00PM-5:50PM,Syed Ali Hasanain
ECON 352 LEC 1,International Finance,16W,4,TR 4:00PM-5:50PM,Usman Elahi
ECON 3602 LEC 1,Money and Central Banking,16W,4,MW 12:00PM-1:50PM,Daniyal Khan
ECON 411 LEC 1,Advanced Microeconomics,16W,4,TR 9:00AM-10:50AM,Mushtaq Ahmad Khan
ECON 414 LEC 1,Applied Microeconomics,16W,4,TR 12:00PM-1:50PM,Abid Aman Burki
ECON 419 LEC 1,Advanced Behavioral Economics,16W,4,MW 4:00PM-5:50PM,Sher Afghan Asad
ECON 421 LEC 1,Advanced Macroeconomics,16W,4,TR 2:00PM-3:50PM,Antonio Marasco
ECON 4302 LEC 1,Cooperative Games - Reory and Applications,16W,4,MW 12:00PM-1:50PM,Osama Khan
ECON 4410 LEC 1,IsUes in Economic Policy,16W,4,MW 9:00AM-10:50AM,"Nazish Afraz
Ijaz Nabi"
ECON 4414 LEC 1,Topics in Energy Economics,16W,4,MW 3:00PM-4:50PM,Ayesha Ali
ECON 454 LEC 1,Trade and Development,16W,4,MW 12:00PM-1:50PM,S.M. Turab Hussain
ECON 521 LEC 1,Macroeconomic Analysis,16W,4,TR 2:00PM-3:50PM,Syed Zahid Ali
ECON 532 LEC 1,Econometrics and Research MeRodology II,16W,4,MW 10:00AM-11:50AM,Muhammad Farooq Naseer
EDU 213 LEC 1,Philosophy of Education,16W,3,MW 10:30AM-11:45AM,Hasham Nasir
EDU 216 SEM 1,Globalization and Language,16W,3,TR 10:30AM-11:45AM,Sannia Hussain
EDU 224 LEC 1,Reories of Child and Adolescent Development i n,16W,3,TR 12:00PM-1:15PM,Fizza Uhail
EDU 250 LEC 1,Education in Re Pakistani Context,16W,3,MW 12:00PM-1:15PM,Jasir Shahbaz
EDU 315 LEC 1,Education in Re Globalized World,16W,3,MW 9:00AM-10:15AM,Farah Syed
EDU 318 LEC 1,Introduction to Re Arts in Education in SouR Asi,16W,3,MW 2:00PM-3:15PM,Razia Iram Sadik
EDU 3204 SEM 1,Enhancing Inclusion: Exploring Autism & Intellect,16W,3,MW 2:00PM-3:15PM,Aaishay Haque
EDU 3205 LEC 1,Removing Barriers to Learning in Re Classroom,16W,3,TR 9:00AM-10:15AM,Jessica Albrent
EDU 343 LEC 1,Educational Leadership Beyond Schools,16W,3,TR 10:30AM-11:45AM,Mehreen Noon
EDU 345 LEC 1,Practicing Leadership,16W,3,TR 10:30AM-11:45AM,Hasham Nasir
EDU 352 LEC 1,Education Policy Analysis,16W,3,TR 9:00AM-10:15AM,Gulab Khan
EDU 363 LEC 1,Could Education be Bad for Society,16W,3,M 2:00PM-4:50PM,Daniyal Yousaf
EDU 372 LEC 1,Mobile Lives: Im/migration and Education,16W,3,MW 12:00PM-1:15PM,Daniyal Yousaf
EDU 412 LEC 1,Economics of Education,16W,3,TR 12:00PM-1:15PM,Jasir Shahbaz
EDU 422 SEM 1,Behavior Analysis for Effective Teaching,16W,3,MW 10:30AM-11:45AM,Aaishay Haque
EDU 423 LEC 1,Reory and Policy for Teacher Education,16W,3,MW 9:00AM-10:15AM,Soufia Anis Siddiqi
EDU 541 LEC 1,School Effectiveness and Development,16W,3,TR 12:00PM-1:15PM,"Jessica Albrent
Hasham Nasir"
EDU 543 SEM 1,Essential Management Tools for Aspiring Educati,16W,3,R 1:00PM-3:50PM,Bilal Ahsan Malik
EDU 561 LEC 1,Applied Data Analysis,16W,3,MW 9:00AM-10:15AM,Farah Nadeem
EDU 562 LAB 1,Data Lab,16W,1,M 10:30AM-1:20PM,Ahmad Ayub
EDU 563 SEM 1,ERnography for Education Policy,16W,3,R 11:00AM-1:50PM,Soufia Anis Siddiqi
EDU 627 LEC 1,Understanding Diversity in Disability,16W,3,TR 10:30AM-11:45AM,Mariam Haider
EDUX 512 LEC 1,Re Arts and Education,EDUX(Alternat e,3,SU 4:00PM-5:50PM,Razia Iram Sadik
EDUX 541 LEC 1,School Effectiveness and Development,EDUX(Alternat e,3,SU 9:00AM-10:50AM,Jessica Albrent
EDUX 552 LEC 1,Education for Ustainable Development,EDUX(Alternat e,3,SU 4:00PM-5:50PM,Tayyaba Tamim
EDUX 561 LEC 1,Applied Data Analysis,EDUX(Alternat e,3,SU 2:00PM-3:50PM,Farah Nadeem
EDUX 562 LAB 1,Data Lab,EDUX(Alternat e,1,SU 11:00AM-12:50PM,Ahmad Ayub
EDUX 646 LEC 1,"Managing Motivation, Engagement and Retentio",EDUX(Alternat e,3,SU 4:00PM-5:50PM,Atif Rahim Khan
EE 220 LEC 1,Digital Logic Circuits,16W,3,TR 5:00PM-6:15PM,Muhammad Jahangir Ikram
EE 220L LAB 1,Digital Logic Circuits Lab,16W,1,R 2:00PM-4:50PM,Muhammad Jahangir Ikram
EE 220L LAB 2,Digital Logic Circuits Lab,16W,1,T 2:00PM-4:50PM,Muhammad Jahangir Ikram
EE 220L LAB 3,Digital Logic Circuits Lab,16W,1,F 9:30AM-12:20PM,Muhammad Jahangir Ikram
EE 220L LAB 4,Digital Logic Circuits Lab,16W,1,W 2:00PM-4:50PM,Muhammad Jahangir Ikram
EE 220L LAB 5,Digital Logic Circuits Lab,16W,1,F 3:00PM-5:50PM,Muhammad Jahangir Ikram
EE 241L LAB 1,Introductory Circuits Lab,16W,2,W 9:30AM-3:20PM,Hassan Abbas Khan
EE 241L LAB 2,Introductory Circuits Lab,16W,2,M 9:00AM-2:50PM,Muhammad Imran Cheema
EE 242 LEC 1,Circuits II,16W,3,TR 11:00AM-12:15PM,Naveed Ul Hassan
EE 3001 LEC 1,Junior Design Studio - Electric Vehicles,16W,3,M 9:00AM-10:50AM,Nauman Ahmad Zaffar
EE 3001 LAB 1,Junior Design Studio - Electric Vehicles,16W,3,F 3:00PM-5:50PM,Nauman Ahmad Zaffar
EE 3002 LEC 1,Junior Design Studio - Robotics,16W,3,TR 5:00PM-5:50PM,Hassan Jaleel
EE 3002 LAB 1,Junior Design Studio - Robotics,16W,3,F 3:00PM-5:50PM,Hassan Jaleel
EE 310 LEC 1,Signals and Systems,16W,3,MW 8:00AM-8:50AM,Muhammad Tahir
EE 310 RAC 1,Signals and Systems,16W,3,F 2:00PM-2:50PM,Muhammad Tahir
EE 320 LEC 1,Computer Organization and Assembly Language,16W,4,TR 2:00PM-3:15PM,Shahid MaUd
EE 320 LAB 1,Computer Organization and Assembly Language,16W,4,F 9:30AM-12:20PM,Shahid MaUd
EE 341 LEC 1,Microelectronic Design,16W,3,MW 12:30PM-1:45PM,Muhammad Ali Siddiqi
EE 352 LEC 1,Electromechanical Systems,16W,3,TR 12:30PM-1:45PM,Hafsa Qamar
EE 352L LAB 1,Electromechanical Systems Lab,16W,1,F 9:00AM-11:50AM,Hafsa Qamar
EE 352L LAB 2,Electromechanical Systems Lab,16W,1,T 2:00PM-4:50PM,Hafsa Qamar
EE 353 LEC 1,Electrical Power Systems,16W,3,TR 11:00AM-12:15PM,Raheel Zafar
EE 361 LEC 1,Feedback Control Systems,16W,3,TR 9:30AM-10:45AM,Hassan Jaleel
EE 361L LAB 1,Feedback Control Systems Lab,16W,1,W 3:00PM-5:50PM,Mudassar Ejaz
EE 361L LAB 2,Feedback Control Systems Lab,16W,1,F 9:00AM-11:50AM,Mudassar Ejaz
EE 434 LEC 1,1Principles of Optics,16W,3,MW 3:30PM-4:45PM,Muhammad Imran Cheema
EE 512 LEC 1,Digital Image Processing,16W,3,MW 11:00AM-12:15PM,Nadeem Ahmad Khan
EE 514 LEC 1,Machine Learning,16W,3,TR 11:00AM-12:15PM,
